Data,BRZEG DOLNY (151160170) Stan wody [cm],G£OGÓW (151160060) Stan wody [cm],OSETNO (151160140) Stan wody [cm],TRESTNO (151170030) Stan wody [cm],BRZEG DOLNY (251160230) Suma opadów [mm],OSETNO (251160110) Suma opadów [mm],£ANY (251170420) Suma opadów [mm],BRZEG DOLNY (251160230) Brak pomiaru,OSETNO (251160110) Brak pomiaru,£ANY (251170420) Brak pomiaru
2018-04-26,115,233,169,319,,0.8,,0.0,0.0,0.0
2018-04-27,125,225,167,318,,0.0,,0.0,0.0,0.0
2018-04-28,121,222,163,317,,0.0,,0.0,0.0,0.0
2018-04-29,101,223,160,317,,0.0,,0.0,0.0,0.0
2018-04-30,103,214,158,316,,0.0,,0.0,0.0,0.0
2018-05-01,96,207,155,318,,0.0,,0.0,0.0,0.0
2018-05-02,107,204,153,317,,0.0,,0.0,0.0,0.0
2018-05-03,90,203,153,317,,3.2,,0.0,0.0,0.0
2018-05-04,100,203,153,316,,0.0,,0.0,0.0,0.0
2018-05-05,106,197,154,319,,0.0,,0.0,0.0,0.0
2018-05-06,105,201,152,315,,0.0,,0.0,0.0,0.0
2018-05-07,90,209,150,314,,0.0,,0.0,0.0,0.0
2018-05-08,87,198,148,313,,0.0,,0.0,0.0,0.0
2018-05-09,86,192,146,314,,2.5,,0.0,0.0,0.0
2018-05-10,100,190,147,317,,1.0,,0.0,0.0,0.0
2018-05-11,108,192,148,319,,0.6,,0.0,0.0,0.0
2018-05-12,94,197,154,318,,0.0,,0.0,0.0,0.0
2018-05-13,103,199,156,318,,0.0,,0.0,0.0,0.0
2018-05-14,93,198,150,318,,0.0,,0.0,0.0,0.0
2018-05-15,96,193,148,316,,1.4,,0.0,0.0,0.0
2018-05-16,99,195,146,319,,8.6,,0.0,0.0,0.0
2018-05-17,140,192,147,319,,7.5,,0.0,0.0,0.0
2018-05-18,158,204,153,322,,0.1,,0.0,0.0,0.0
2018-05-19,127,233,178,320,,0.0,,0.0,0.0,0.0
2018-05-20,148,241,187,323,,0.0,,0.0,0.0,0.0
2018-05-21,160,216,185,319,,0.0,,0.0,0.0,0.0
2018-05-22,132,243,180,317,,0.0,,0.0,0.0,0.0
2018-05-23,94,230,176,318,,0.0,,0.0,0.0,0.0
2018-05-24,107,211,166,316,,0.0,,0.0,0.0,0.0
2018-05-25,89,204,160,318,,0.0,,0.0,0.0,0.0
2018-05-26,91,196,155,316,,0.0,,0.0,0.0,0.0
2018-05-27,83,192,151,315,,0.0,,0.0,0.0,0.0
2018-05-28,134,189,150,325,,0.0,,0.0,0.0,0.0
2018-05-29,197,180,153,326,,0.0,,0.0,0.0,0.0
2018-05-30,250,194,155,323,,0.0,,0.0,0.0,0.0
2018-05-31,210,225,152,320,,0.0,,0.0,0.0,0.0
2018-06-01,188,230,150,314,,21.9,,0.0,0.0,0.0
2018-06-02,172,202,154,315,,0.4,,0.0,0.0,0.0
2018-06-03,184,186,158,316,,20.2,,0.0,0.0,0.0
2018-06-04,219,180,159,330,,0.0,,0.0,0.0,0.0
2018-06-05,259,187,163,327,,0.0,,0.0,0.0,0.0
2018-06-06,176,256,168,321,,0.0,,0.0,0.0,0.0
2018-06-07,175,233,172,316,,0.0,,0.0,0.0,0.0
2018-06-08,149,213,171,318,,0.0,,0.0,0.0,0.0
2018-06-09,156,188,165,315,,0.0,,0.0,0.0,0.0
2018-06-10,128,181,160,318,,7.4,,0.0,0.0,0.0
2018-06-11,116,182,157,320,,0.1,,0.0,0.0,0.0
2018-06-12,112,197,155,320,,0.0,,0.0,0.0,0.0
2018-06-13,121,202,153,320,,0.0,,0.0,0.0,0.0
2018-06-14,114,198,151,325,,0.0,,0.0,0.0,0.0
2018-06-15,152,197,154,319,,0.0,,0.0,0.0,0.0
2018-06-16,107,222,150,315,,0.0,,0.0,0.0,0.0
2018-06-17,77,203,150,316,,0.0,,0.0,0.0,0.0
2018-06-18,92,190,149,315,,0.0,,0.0,0.0,0.0
2018-06-19,81,176,152,317,,0.0,,0.0,0.0,0.0
2018-06-20,84,173,152,314,,0.0,,0.0,0.0,0.0
2018-06-21,72,170,150,315,,2.4,,0.0,0.0,0.0
2018-06-22,67,166,151,315,,0.9,,0.0,0.0,0.0
2018-06-23,72,162,149,317,,0.1,,0.0,0.0,0.0
2018-06-24,78,160,148,318,,14.8,,0.0,0.0,0.0
2018-06-25,74,162,148,320,,4.9,,0.0,0.0,0.0
2018-06-26,102,165,150,322,,14.3,,0.0,0.0,0.0
2018-06-27,116,163,150,322,,0.0,,0.0,0.0,0.0
2018-06-28,115,170,151,321,,0.2,,0.0,0.0,0.0
2018-06-29,122,173,152,327,,0.0,,0.0,0.0,0.0
2018-06-30,199,173,150,328,,0.0,,0.0,0.0,0.0
2018-07-01,142,195,150,322,,0.0,,0.0,0.0,0.0
2018-07-02,172,216,150,318,,0.0,,0.0,0.0,0.0
2018-07-03,136,211,150,321,,0.0,,0.0,0.0,0.0
2018-07-04,165,198,147,320,,0.0,,0.0,0.0,0.0
2018-07-05,154,170,145,318,,0.5,,0.0,0.0,0.0
2018-07-06,182,160,143,321,,0.0,,0.0,0.0,0.0
2018-07-07,147,167,143,319,,0.0,,0.0,0.0,0.0
2018-07-08,118,186,140,318,,0.0,,0.0,0.0,0.0
2018-07-09,132,169,137,318,,0.0,,0.0,0.0,0.0
2018-07-10,136,157,140,316,,3.1,,0.0,0.0,0.0
2018-07-11,143,159,142,316,,3.0,,0.0,0.0,0.0
2018-07-12,125,159,141,317,,0.4,,0.0,0.0,0.0
2018-07-13,98,164,140,318,,6.5,,0.0,0.0,0.0
2018-07-14,94,171,142,318,,1.2,,0.0,0.0,0.0
2018-07-15,73,173,143,317,,0.1,,0.0,0.0,0.0
2018-07-16,80,173,148,317,,3.8,,0.0,0.0,0.0
2018-07-17,79,163,161,317,,26.0,,0.0,0.0,0.0
2018-07-18,91,168,167,320,,13.7,,0.0,0.0,0.0
2018-07-19,143,171,167,325,,2.2,,0.0,0.0,0.0
2018-07-20,322,183,170,351,,0.0,,0.0,0.0,0.0
2018-07-21,295,252,174,338,,0.0,,0.0,0.0,0.0
2018-07-22,264,303,179,328,,0.0,,0.0,0.0,0.0
2018-07-23,219,280,182,327,,0.0,,0.0,0.0,0.0
2018-07-24,210,250,183,327,,0.0,,0.0,0.0,0.0
2018-07-25,191,230,181,322,,0.0,,0.0,0.0,0.0
2018-07-26,176,226,177,323,,0.0,,0.0,0.0,0.0
2018-07-27,186,202,174,325,,9.4,,0.0,0.0,0.0
2018-07-28,210,195,170,322,,0.4,,0.0,0.0,0.0
2018-07-29,111,215,167,319,,0.0,,0.0,0.0,0.0
2018-07-30,104,221,164,319,,0.0,,0.0,0.0,0.0
2018-07-31,93,192,160,319,,0.0,,0.0,0.0,0.0
2018-08-01,94,185,156,317,,0.0,,0.0,0.0,0.0
2018-08-02,69,181,154,321,,0.0,,0.0,0.0,0.0
2018-08-03,87,173,153,320,,0.0,,0.0,0.0,0.0
2018-08-04,78,163,153,319,,0.0,,0.0,0.0,0.0
2018-08-05,66,168,152,318,,0.3,,0.0,0.0,0.0
2018-08-06,65,161,149,317,,0.0,,0.0,0.0,0.0
2018-08-07,73,156,144,317,,0.0,,0.0,0.0,0.0
2018-08-08,63,155,142,317,,0.0,,0.0,0.0,0.0
2018-08-09,56,160,141,315,,0.4,,0.0,0.0,0.0
2018-08-10,59,154,142,316,,2.9,,0.0,0.0,0.0
2018-08-11,81,149,139,314,,2.3,,0.0,0.0,0.0
2018-08-12,98,152,136,316,,0.0,,0.0,0.0,0.0
2018-08-13,102,165,137,317,,1.8,,0.0,0.0,0.0
2018-08-14,102,175,138,312,,0.0,,0.0,0.0,0.0
2018-08-15,62,180,137,310,,0.0,,0.0,0.0,0.0
2018-08-16,67,171,135,309,,0.0,,0.0,0.0,0.0
2018-08-17,70,155,136,313,,0.0,,0.0,0.0,0.0
2018-08-18,93,154,133,314,,0.0,,0.0,0.0,0.0
2018-08-19,76,160,133,314,,0.0,,0.0,0.0,0.0
2018-08-20,73,167,133,316,,0.0,,0.0,0.0,0.0
2018-08-21,90,161,132,313,,0.0,,0.0,0.0,0.0
2018-08-22,62,165,129,308,,0.0,,0.0,0.0,0.0
2018-08-23,57,162,126,313,,0.0,,0.0,0.0,0.0
2018-08-24,70,150,128,315,,16.0,,0.0,0.0,0.0
2018-08-25,89,151,133,316,,2.6,,0.0,0.0,0.0
2018-08-26,85,156,132,315,,0.0,,0.0,0.0,0.0
2018-08-27,91,169,131,320,,0.0,,0.0,0.0,0.0
2018-08-28,79,166,130,316,,0.0,,0.0,0.0,0.0
2018-08-29,67,172,129,312,,0.0,,0.0,0.0,0.0
2018-08-30,54,165,128,314,,1.2,,0.0,0.0,0.0
2018-08-31,63,155,130,315,,0.6,,0.0,0.0,0.0
2018-09-01,56,155,131,315,,17.1,,0.0,0.0,0.0
2018-09-02,86,156,132,321,,0.0,,0.0,0.0,0.0
2018-09-03,83,152,132,322,,0.0,,0.0,0.0,0.0
2018-09-04,127,169,132,325,,0.0,,0.0,0.0,0.0
2018-09-05,105,168,132,321,,0.0,,0.0,0.0,0.0
2018-09-06,128,184,132,319,,0.0,,0.0,0.0,0.0
2018-09-07,116,188,133,320,,0.5,,0.0,0.0,0.0
2018-09-08,94,191,132,317,,0.0,,0.0,0.0,0.0
2018-09-09,89,179,131,318,,0.0,,0.0,0.0,0.0
2018-09-10,96,167,133,320,,0.0,,0.0,0.0,0.0
2018-09-11,121,164,144,323,,0.0,,0.0,0.0,0.0
2018-09-12,135,166,144,322,,0.0,,0.0,0.0,0.0
2018-09-13,100,179,145,316,,3.1,,0.0,0.0,0.0
2018-09-14,100,185,147,316,,3.3,,0.0,0.0,0.0
2018-09-15,100,167,151,318,,0.0,,0.0,0.0,0.0
2018-09-16,98,165,154,319,,0.0,,0.0,0.0,0.0
2018-09-17,103,166,156,317,,0.0,,0.0,0.0,0.0
2018-09-18,111,163,157,315,,0.0,,0.0,0.0,0.0
2018-09-19,120,157,157,315,,0.0,,0.0,0.0,0.0
2018-09-20,110,154,158,315,,0.0,,0.0,0.0,0.0
2018-09-21,93,155,159,316,,4.1,,0.0,0.0,0.0
2018-09-22,99,159,160,314,,0.0,,0.0,0.0,0.0
2018-09-23,90,156,163,316,,34.0,,0.0,0.0,0.0
2018-09-24,95,158,167,318,,1.0,,0.0,0.0,0.0
2018-09-25,119,156,164,322,,0.0,,0.0,0.0,0.0
2018-09-26,127,156,163,316,,0.0,,0.0,0.0,0.0
2018-09-27,88,185,164,316,,0.0,,0.0,0.0,0.0
2018-09-28,95,159,164,321,,0.0,,0.0,0.0,0.0
2018-09-29,90,151,164,320,,0.0,,0.0,0.0,0.0
2018-09-30,83,154,164,319,,0.0,,0.0,0.0,0.0
2018-10-01,110,151,163,319,,0.3,,0.0,0.0,0.0
2018-10-02,85,152,162,318,,1.2,,0.0,0.0,0.0
2018-10-03,91,160,164,320,,1.2,,0.0,0.0,0.0
2018-10-04,91,148,163,325,,0.1,,0.0,0.0,0.0
2018-10-05,108,148,162,324,,0.0,,0.0,0.0,0.0
2018-10-06,104,153,162,320,,0.0,,0.0,0.0,0.0
2018-10-07,107,160,162,322,,0.0,,0.0,0.0,0.0
2018-10-08,141,157,162,321,,0.0,,0.0,0.0,0.0
2018-10-09,99,167,162,322,,0.0,,0.0,0.0,0.0
2018-10-10,147,173,162,323,,0.0,,0.0,0.0,0.0
2018-10-11,123,155,158,321,,0.0,,0.0,0.0,0.0
2018-10-12,135,164,157,322,,0.0,,0.0,0.0,0.0
2018-10-13,131,149,152,319,,0.0,,0.0,0.0,0.0
2018-10-14,137,157,148,318,,0.0,,0.0,0.0,0.0
2018-10-15,143,149,145,320,,0.0,,0.0,0.0,0.0
2018-10-16,130,151,143,322,,0.0,,0.0,0.0,0.0
2018-10-17,155,157,141,319,,0.0,,0.0,0.0,0.0
2018-10-18,159,160,140,322,,0.0,,0.0,0.0,0.0
2018-10-19,165,165,143,320,,0.0,,0.0,0.0,0.0
2018-10-20,121,183,147,315,,0.2,,0.0,0.0,0.0
2018-10-21,130,166,147,318,,0.0,,0.0,0.0,0.0
2018-10-22,137,145,145,317,,1.0,,0.0,0.0,0.0
2018-10-23,134,153,145,318,,16.0,,0.0,0.0,0.0
2018-10-24,146,153,144,321,,2.3,,0.0,0.0,0.0
2018-10-25,143,153,148,322,,0.5,,0.0,0.0,0.0
2018-10-26,181,168,151,322,,0.0,,0.0,0.0,0.0
2018-10-27,106,179,152,319,,0.0,,0.0,0.0,0.0
2018-10-28,115,184,155,319,,19.4,,0.0,0.0,0.0
2018-10-29,171,157,158,321,,0.0,,0.0,0.0,0.0
2018-10-30,172,177,161,323,,0.0,,0.0,0.0,0.0
2018-10-31,176,190,164,320,,0.0,,0.0,0.0,0.0
2018-11-01,140,200,164,318,,0.0,,0.0,0.0,0.0
2018-11-02,198,192,162,317,,9.4,,0.0,0.0,0.0
2018-11-03,85,210,162,319,,0.6,,0.0,0.0,0.0
2018-11-04,89,192,160,318,,0.1,,0.0,0.0,0.0
2018-11-05,126,156,158,318,,0.0,,0.0,0.0,0.0
2018-11-06,112,159,156,318,,0.0,,0.0,0.0,0.0
2018-11-07,114,176,155,317,,0.0,,0.0,0.0,0.0
2018-11-08,120,171,155,317,,0.1,,0.0,0.0,0.0
2018-11-09,120,162,157,320,,0.0,,0.0,0.0,0.0
2018-11-10,122,170,161,317,,0.0,,0.0,0.0,0.0
2018-11-11,78,178,161,318,,0.1,,0.0,0.0,0.0
2018-11-12,102,174,156,318,,0.0,,0.0,0.0,0.0
2018-11-13,102,159,153,316,,2.3,,0.0,0.0,0.0
2018-11-14,90,165,150,320,,0.1,,0.0,0.0,0.0
2018-11-15,101,161,146,320,,0.0,,0.0,0.0,0.0
2018-11-16,100,160,144,321,,0.0,,0.0,0.0,0.0
2018-11-17,100,162,146,320,,0.0,,0.0,0.0,0.0
2018-11-18,95,163,147,319,,2.5,,0.0,0.0,0.0
2018-11-19,112,165,147,319,,0.2,,0.0,0.0,0.0
2018-11-20,141,158,145,319,,2.5,,0.0,0.0,0.0
2018-11-21,161,154,144,318,,0.3,,0.0,0.0,0.0
2018-11-22,147,186,145,319,,0.1,,0.0,0.0,0.0
2018-11-23,131,168,146,320,,0.0,,0.0,0.0,0.0
2018-11-24,182,148,149,318,,0.2,,0.0,0.0,0.0
2018-11-25,177,143,148,319,,0.0,,0.0,0.0,0.0
2018-11-26,161,149,147,318,,0.0,,0.0,0.0,0.0
2018-11-27,148,158,145,318,,0.0,,0.0,0.0,0.0
2018-11-28,142,163,142,319,,0.0,,0.0,0.0,0.0
2018-11-29,157,158,141,318,,0.0,,0.0,0.0,0.0
2018-11-30,168,162,139,318,,0.0,,0.0,0.0,0.0
2018-12-01,127,181,138,317,,0.0,,0.0,0.0,0.0
2018-12-02,125,165,143,316,,3.3,,0.0,0.0,0.0
2018-12-03,135,145,150,317,,2.0,,0.0,0.0,0.0
2018-12-04,147,143,142,319,,1.0,,0.0,0.0,0.0
2018-12-05,142,153,144,320,,0.0,,0.0,0.0,0.0
2018-12-06,152,161,150,322,,0.9,,0.0,0.0,0.0
2018-12-07,179,161,143,321,,5.5,,0.0,0.0,0.0
2018-12-08,188,172,140,319,,1.9,,0.0,0.0,0.0
2018-12-09,127,203,143,318,,3.2,,0.0,0.0,0.0
2018-12-10,162,178,143,319,,5.7,,0.0,0.0,0.0
2018-12-11,167,148,146,322,,3.6,,0.0,0.0,0.0
2018-12-12,180,166,153,324,,0.0,,0.0,0.0,0.0
2018-12-13,160,177,161,323,,0.7,,0.0,0.0,0.0
2018-12-14,136,196,163,320,,0.3,,0.0,0.0,0.0
2018-12-15,165,192,164,322,,0.2,,0.0,0.0,0.0
2018-12-16,144,185,162,320,,0.0,,0.0,0.0,0.0
